Date,Open,High,Low,Close,Volume
4-May-16,2.70,2.77,2.56,2.69,1467855
3-May-16,2.84,2.84,2.70,2.72,1249503
2-May-16,2.98,2.98,2.81,2.88,898802
29-Apr-16,2.95,3.01,2.86,2.96,1139777
28-Apr-16,2.93,3.01,2.88,2.89,1228179
27-Apr-16,3.00,3.08,2.95,2.96,2438639
26-Apr-16,2.94,3.00,2.89,2.96,1506018
25-Apr-16,2.98,3.04,2.88,2.92,1440379
22-Apr-16,2.87,2.98,2.87,2.98,3335376
21-Apr-16,2.90,2.99,2.86,2.88,3076191
20-Apr-16,2.79,2.92,2.75,2.87,2602637
19-Apr-16,2.66,2.83,2.62,2.82,4902412
18-Apr-16,2.43,2.63,2.40,2.62,943646
15-Apr-16,2.55,2.59,2.51,2.53,485827
14-Apr-16,2.67,2.70,2.56,2.58,650870
13-Apr-16,2.62,2.76,2.56,2.70,1097255
12-Apr-16,2.52,2.67,2.48,2.62,2155526
11-Apr-16,2.51,2.56,2.47,2.48,1633631
8-Apr-16,2.41,2.56,2.41,2.49,1942319
7-Apr-16,2.46,2.47,2.37,2.37,1309129
6-Apr-16,2.33,2.43,2.28,2.40,2324548
5-Apr-16,2.29,2.34,2.26,2.31,1158073
4-Apr-16,2.34,2.37,2.28,2.31,1270571
1-Apr-16,2.46,2.46,2.31,2.34,4620051
31-Mar-16,2.63,2.64,2.39,2.47,3812664
30-Mar-16,2.56,2.70,2.56,2.65,1250001
29-Mar-16,2.48,2.60,2.46,2.58,604441
28-Mar-16,2.53,2.58,2.49,2.54,363004
24-Mar-16,2.48,2.57,2.46,2.53,509962
23-Mar-16,2.62,2.62,2.51,2.52,693759
22-Mar-16,2.62,2.68,2.61,2.63,435506
21-Mar-16,2.63,2.69,2.61,2.65,467798
18-Mar-16,2.82,2.84,2.56,2.56,2336281
17-Mar-16,2.72,2.82,2.71,2.79,914349
16-Mar-16,2.66,2.73,2.62,2.70,574350
15-Mar-16,2.63,2.65,2.54,2.65,540582
14-Mar-16,2.75,2.75,2.65,2.69,630246
11-Mar-16,2.77,2.82,2.77,2.79,868091
10-Mar-16,2.69,2.77,2.64,2.74,1214352
9-Mar-16,2.82,2.87,2.69,2.71,1344357
8-Mar-16,2.79,2.87,2.73,2.80,2320535
7-Mar-16,2.81,2.93,2.80,2.84,1648061
4-Mar-16,2.80,2.84,2.69,2.80,2596646
3-Mar-16,2.61,2.81,2.61,2.77,1321169
2-Mar-16,2.44,2.67,2.44,2.66,1362630
1-Mar-16,2.43,2.54,2.33,2.47,1604496
29-Feb-16,2.17,2.38,2.17,2.38,1509502
26-Feb-16,2.24,2.36,2.19,2.22,2159081
25-Feb-16,2.21,2.29,2.18,2.22,1845546
24-Feb-16,2.10,2.27,2.07,2.23,777102
23-Feb-16,2.26,2.27,2.16,2.18,509745
22-Feb-16,2.22,2.34,2.19,2.27,1282774
19-Feb-16,2.12,2.15,2.07,2.12,765468
18-Feb-16,2.28,2.34,2.14,2.18,892459
17-Feb-16,2.16,2.25,2.12,2.25,3337203
16-Feb-16,2.18,2.20,2.10,2.13,1237964
12-Feb-16,2.10,2.18,2.05,2.14,1361689
11-Feb-16,2.04,2.08,1.98,2.04,1269348
10-Feb-16,2.00,2.09,1.96,2.05,745821
9-Feb-16,2.01,2.06,1.93,2.03,674812
8-Feb-16,2.08,2.14,2.04,2.06,416828
5-Feb-16,2.15,2.19,2.08,2.11,555395
4-Feb-16,2.23,2.26,2.16,2.20,860751
3-Feb-16,2.17,2.22,2.07,2.20,902604
2-Feb-16,2.11,2.15,1.97,2.09,1100315
1-Feb-16,2.23,2.25,2.15,2.18,1080270
29-Jan-16,2.28,2.34,2.22,2.29,1170639
28-Jan-16,2.30,2.32,2.16,2.25,1554270
27-Jan-16,2.23,2.29,2.16,2.18,1183202
26-Jan-16,2.27,2.30,2.20,2.24,1639492
25-Jan-16,2.33,2.37,2.17,2.21,1471040
22-Jan-16,2.20,2.39,2.20,2.39,2434601
21-Jan-16,1.93,2.15,1.93,2.10,1926151
20-Jan-16,1.90,2.03,1.82,2.01,988360
19-Jan-16,2.05,2.10,1.92,1.94,1127118
15-Jan-16,1.89,2.00,1.88,1.99,917831
14-Jan-16,1.91,2.01,1.85,1.99,1052880
13-Jan-16,1.90,1.97,1.84,1.89,1045303
12-Jan-16,1.95,1.95,1.79,1.87,826189
11-Jan-16,2.01,2.02,1.82,1.89,822170
8-Jan-16,2.05,2.05,1.94,2.02,581131
7-Jan-16,2.06,2.08,2.00,2.00,867482
6-Jan-16,2.14,2.15,2.08,2.10,630076
5-Jan-16,2.19,2.24,2.17,2.21,544347
4-Jan-16,2.18,2.25,2.12,2.18,577451
31-Dec-15,2.08,2.21,2.08,2.17,1332039
30-Dec-15,2.09,2.18,2.08,2.12,712456
29-Dec-15,2.15,2.19,2.10,2.13,700904
28-Dec-15,2.13,2.22,2.08,2.09,673407
24-Dec-15,2.29,2.29,2.21,2.22,554806
23-Dec-15,2.17,2.29,2.15,2.28,1145654
22-Dec-15,2.21,2.22,2.12,2.12,1003894
21-Dec-15,2.29,2.36,2.19,2.20,1272568
18-Dec-15,2.20,2.34,2.20,2.33,1465542
17-Dec-15,2.13,2.24,2.08,2.16,1039877
16-Dec-15,2.11,2.17,2.01,2.11,910598
15-Dec-15,2.05,2.18,2.00,2.16,1205453
14-Dec-15,1.99,2.02,1.88,2.02,1923330
11-Dec-15,2.09,2.09,1.99,2.02,1074162
10-Dec-15,2.13,2.18,2.10,2.10,856193
9-Dec-15,2.12,2.25,2.09,2.14,1062457
8-Dec-15,1.97,2.15,1.92,2.11,1320813
7-Dec-15,2.20,2.22,1.98,2.01,2439563
4-Dec-15,2.35,2.36,2.23,2.25,1597796
3-Dec-15,2.47,2.48,2.38,2.41,1803400
2-Dec-15,2.40,2.47,2.38,2.42,1932116
1-Dec-15,2.46,2.50,2.42,2.43,1140763
30-Nov-15,2.44,2.50,2.42,2.50,3147304
27-Nov-15,2.47,2.49,2.40,2.43,250813
25-Nov-15,2.43,2.54,2.41,2.50,918417
24-Nov-15,2.34,2.52,2.32,2.49,1591459
23-Nov-15,2.30,2.38,2.28,2.29,1000259
20-Nov-15,2.29,2.32,2.24,2.29,704605
19-Nov-15,2.29,2.37,2.27,2.28,796954
18-Nov-15,2.38,2.40,2.24,2.33,1009562
17-Nov-15,2.38,2.41,2.29,2.32,760397
16-Nov-15,2.25,2.38,2.23,2.37,953355
13-Nov-15,2.36,2.36,2.21,2.25,1345359
12-Nov-15,2.45,2.53,2.39,2.39,1303656
11-Nov-15,2.59,2.60,2.48,2.53,1272611
